"Rating","Lille","7.04","Saint-Etienne","6.69"
"TotalShots","Lille","21","Saint-Etienne","8"
"Possession","Lille","58.9","Saint-Etienne","41.1"
"PassSuccess","Lille","86","Saint-Etienne","76"
"DribblesWon","Lille","11","Saint-Etienne","5"
"AerialsWon","Lille","24","Saint-Etienne","9"
"TackleSuccessful","Lille","20","Saint-Etienne","20"
"CornersTotal","Lille","6","Saint-Etienne","4"
"Dispossessed","Lille","19","Saint-Etienne","15"
"ShotsOnPost","Lille","1","Saint-Etienne","0"
"ShotsOnTarget","Lille","8","Saint-Etienne","3"
"ShotsOffTarget","Lille","8","Saint-Etienne","2"
"ShotsBlocked","Lille","5","Saint-Etienne","3"
"Touches","Lille","748","Saint-Etienne","550"
"PassesTotal","Lille","526","Saint-Etienne","364"
"PassesAccurate","Lille","451","Saint-Etienne","276"
"KeyPasses","Lille","14","Saint-Etienne","6"
"DribblesAttempted","Lille","12","Saint-Etienne","10"
"DribblesPast","Lille","5","Saint-Etienne","11"
"DribbleSuccess","Lille","92","Saint-Etienne","50"
"OffensiveAerials","Lille","15","Saint-Etienne","18"
"DefensiveAerials","Lille","18","Saint-Etienne","15"
"AerialsWon","Lille","73","Saint-Etienne","27"
"TacklesAttempted","Lille","25","Saint-Etienne","31"
"TacklesUnsuccessful","Lille","5","Saint-Etienne","11"
"TackleSuccess","Lille","80","Saint-Etienne","65"
"Clearances","Lille","25","Saint-Etienne","24"
"Interceptions","Lille","16","Saint-Etienne","10"
"Errors","Lille","0","Saint-Etienne","1"
"Fouls","Lille","14","Saint-Etienne","14"
"Offsides","Lille","0","Saint-Etienne","5"
"Rating","Rennes","6.40","PSG","7.09"
"TotalShots","Rennes","12","PSG","9"
"Possession","Rennes","47.4","PSG","52.6"
"PassSuccess","Rennes","84","PSG","85"
"DribblesWon","Rennes","8","PSG","14"
"AerialsWon","Rennes","9","PSG","21"
"TackleSuccessful","Rennes","17","PSG","21"
"CornersTotal","Rennes","5","PSG","2"
"Dispossessed","Rennes","17","PSG","9"
"ShotsOnPost","Rennes","0","PSG","0"
"ShotsOnTarget","Rennes","1","PSG","4"
"ShotsOffTarget","Rennes","7","PSG","3"
"ShotsBlocked","Rennes","4","PSG","2"
"Touches","Rennes","705","PSG","793"
"PassesTotal","Rennes","522","PSG","595"
"PassesAccurate","Rennes","440","PSG","507"
"KeyPasses","Rennes","7","PSG","8"
"DribblesAttempted","Rennes","12","PSG","22"
"DribblesPast","Rennes","14","PSG","8"
"DribbleSuccess","Rennes","67","PSG","64"
"OffensiveAerials","Rennes","19","PSG","11"
"DefensiveAerials","Rennes","11","PSG","19"
"AerialsWon","Rennes","30","PSG","70"
"TacklesAttempted","Rennes","31","PSG","29"
"TacklesUnsuccessful","Rennes","14","PSG","8"
