"Rating","Freiburg","6.68","Bayern","7.03"
"TotalShots","Freiburg","11","Bayern","13"
"Possession","Freiburg","25.1","Bayern","74.9"
"PassSuccess","Freiburg","61","Bayern","87"
"DribblesWon","Freiburg","7","Bayern","10"
"AerialsWon","Freiburg","15","Bayern","24"
"TackleSuccessful","Freiburg","23","Bayern","25"
"CornersTotal","Freiburg","1","Bayern","11"
"Dispossessed","Freiburg","7","Bayern","12"
"ShotsOnPost","Freiburg","0","Bayern","0"
"ShotsOnTarget","Freiburg","3","Bayern","5"
"ShotsOffTarget","Freiburg","3","Bayern","6"
"ShotsBlocked","Freiburg","5","Bayern","2"
"Touches","Freiburg","485","Bayern","1083"
"PassesTotal","Freiburg","297","Bayern","882"
"PassesAccurate","Freiburg","181","Bayern","763"
"KeyPasses","Freiburg","9","Bayern","11"
"DribblesAttempted","Freiburg","25","Bayern","21"
"DribblesPast","Freiburg","10","Bayern","7"
"DribbleSuccess","Freiburg","28","Bayern","48"
"OffensiveAerials","Freiburg","23","Bayern","16"
"DefensiveAerials","Freiburg","16","Bayern","23"
"AerialsWon","Freiburg","38","Bayern","62"
"TacklesAttempted","Freiburg","33","Bayern","32"
"TacklesUnsuccessful","Freiburg","10","Bayern","7"
"TackleSuccess","Freiburg","70","Bayern","78"
"Clearances","Freiburg","28","Bayern","6"
"Interceptions","Freiburg","27","Bayern","21"
"Errors","Freiburg","0","Bayern","1"
"Fouls","Freiburg","8","Bayern","7"
"Offsides","Freiburg","1","Bayern","3"
"Rating","Darmstadt","6.92","Borussia M.Gladbach","7.02"
"TotalShots","Darmstadt","8","Borussia M.Gladbach","14"
"Possession","Darmstadt","33.9","Borussia M.Gladbach","66.1"
"PassSuccess","Darmstadt","61","Borussia M.Gladbach","80"
"DribblesWon","Darmstadt","4","Borussia M.Gladbach","15"
"AerialsWon","Darmstadt","28","Borussia M.Gladbach","28"
"TackleSuccessful","Darmstadt","22","Borussia M.Gladbach","13"
"CornersTotal","Darmstadt","4","Borussia M.Gladbach","6"
"Dispossessed","Darmstadt","7","Borussia M.Gladbach","8"
"ShotsOnPost","Darmstadt","0","Borussia M.Gladbach","1"
"ShotsOnTarget","Darmstadt","2","Borussia M.Gladbach","4"
"ShotsOffTarget","Darmstadt","2","Borussia M.Gladbach","7"
"ShotsBlocked","Darmstadt","4","Borussia M.Gladbach","3"
"Touches","Darmstadt","473","Borussia M.Gladbach","755"
"PassesTotal","Darmstadt","282","Borussia M.Gladbach","555"
"PassesAccurate","Darmstadt","171","Borussia M.Gladbach","443"
"KeyPasses","Darmstadt","6","Borussia M.Gladbach","12"
"DribblesAttempted","Darmstadt","10","Borussia M.Gladbach","29"
"DribblesPast","Darmstadt","15","Borussia M.Gladbach","4"
"DribbleSuccess","Darmstadt","40","Borussia M.Gladbach","52"
"OffensiveAerials","Darmstadt","39","Borussia M.Gladbach","17"
"DefensiveAerials","Darmstadt","17","Borussia M.Gladbach","39"
"AerialsWon","Darmstadt","50","Borussia M.Gladbach","50"
"TacklesAttempted","Darmstadt","37","Borussia M.Gladbach","17"
"TacklesUnsuccessful","Darmstadt","15","Borussia M.Gladbach","4"
"TackleSuccess","Darmstadt","59","Borussia M.Gladbach","76"
"Clearances","Darmstadt","27","Borussia M.Gladbach","24"
"Interceptions","Darmstadt","26","Borussia M.Gladbach","14"
"Errors","Darmstadt","0","Borussia M.Gladbach","0"
"Fouls","Darmstadt","12","Borussia M.Gladbach","16"
"Offsides","Darmstadt","1","Borussia M.Gladbach","2"
"Rating","Werder Bremen","6.45","Borussia Dortmund","7.05"
"TotalShots","Werder Bremen","9","Borussia Dortmund","22"
"Possession","Werder Bremen","41.8","Borussia Dortmund","58.2"
"PassSuccess","Werder Bremen","64","Borussia Dortmund","74"
"DribblesWon","Werder Bremen","3","Borussia Dortmund","16"
"AerialsWon","Werder Bremen","18","Borussia Dortmund","21"
"TackleSuccessful","Werder Bremen","19","Borussia Dortmund","10"
"CornersTotal","Werder Bremen","3","Borussia Dortmund","5"
"Dispossessed","Werder Bremen","6","Borussia Dortmund","8"
"ShotsOnPost","Werder Bremen","1","Borussia Dortmund","0"
"ShotsOnTarget","Werder Bremen","5","Borussia Dortmund","8"
"ShotsOffTarget","Werder Bremen","3","Borussia Dortmund","5"
"ShotsBlocked","Werder Bremen","1","Borussia Dortmund","9"
"Touches","Werder Bremen","552","Borussia Dortmund","708"
