Rating,Saint-Etienne,7.00,Nimes,6.66
TotalShots,Saint-Etienne,14,Nimes,14
Possession,Saint-Etienne,60,Nimes,40
PassSuccess,Saint-Etienne,78,Nimes,66
DribblesWon,Saint-Etienne,11,Nimes,7
AerialsWon,Saint-Etienne,22,Nimes,13
TackleSuccessful,Saint-Etienne,17,Nimes,17
CornersTotal,Saint-Etienne,5,Nimes,7
Dispossessed,Saint-Etienne,6,Nimes,9
ShotsOnPost,Saint-Etienne,0,Nimes,1
ShotsOnTarget,Saint-Etienne,9,Nimes,6
ShotsOffTarget,Saint-Etienne,3,Nimes,3
ShotsBlocked,Saint-Etienne,2,Nimes,5
Touches,Saint-Etienne,688,Nimes,525
PassesTotal,Saint-Etienne,463,Nimes,310
PassesAccurate,Saint-Etienne,363,Nimes,205
KeyPasses,Saint-Etienne,12,Nimes,14
DribblesAttempted,Saint-Etienne,22,Nimes,15
DribblesPast,Saint-Etienne,7,Nimes,11
DribbleSuccess,Saint-Etienne,50,Nimes,47
OffensiveAerials,Saint-Etienne,12,Nimes,23
DefensiveAerials,Saint-Etienne,23,Nimes,12
AerialsWon,Saint-Etienne,63,Nimes,37
TacklesAttempted,Saint-Etienne,24,Nimes,28
TacklesUnsuccessful,Saint-Etienne,7,Nimes,11
TackleSuccess,Saint-Etienne,71,Nimes,61
Clearances,Saint-Etienne,18,Nimes,22
Interceptions,Saint-Etienne,16,Nimes,23
Errors,Saint-Etienne,1,Nimes,1
Fouls,Saint-Etienne,7,Nimes,8
Offsides,Saint-Etienne,5,Nimes,2
Rating,Montpellier,7.24,Guingamp,6.43
TotalShots,Montpellier,17,Guingamp,8
Possession,Montpellier,52.5,Guingamp,47.5
PassSuccess,Montpellier,82,Guingamp,83
DribblesWon,Montpellier,7,Guingamp,11
AerialsWon,Montpellier,21,Guingamp,14
TackleSuccessful,Montpellier,22,Guingamp,15
CornersTotal,Montpellier,5,Guingamp,8
Dispossessed,Montpellier,4,Guingamp,11
ShotsOnPost,Montpellier,0,Guingamp,0
ShotsOnTarget,Montpellier,7,Guingamp,3
ShotsOffTarget,Montpellier,5,Guingamp,2
ShotsBlocked,Montpellier,5,Guingamp,3
Touches,Montpellier,693,Guingamp,642
PassesTotal,Montpellier,478,Guingamp,418
PassesAccurate,Montpellier,394,Guingamp,349
KeyPasses,Montpellier,13,Guingamp,5
DribblesAttempted,Montpellier,18,Guingamp,22
DribblesPast,Montpellier,11,Guingamp,7
DribbleSuccess,Montpellier,39,Guingamp,50
OffensiveAerials,Montpellier,16,Guingamp,19
DefensiveAerials,Montpellier,19,Guingamp,16
AerialsWon,Montpellier,60,Guingamp,40
TacklesAttempted,Montpellier,33,Guingamp,22
TacklesUnsuccessful,Montpellier,11,Guingamp,7
TackleSuccess,Montpellier,67,Guingamp,68
Clearances,Montpellier,31,Guingamp,21
Interceptions,Montpellier,8,Guingamp,9
Errors,Montpellier,0,Guingamp,0
Fouls,Montpellier,12,Guingamp,7
Offsides,Montpellier,0,Guingamp,0
Rating,Strasbourg,7.37,Reims,6.10
TotalShots,Strasbourg,13,Reims,10
Possession,Strasbourg,46.7,Reims,53.3
PassSuccess,Strasbourg,83,Reims,84
DribblesWon,Strasbourg,10,Reims,14
AerialsWon,Strasbourg,16,Reims,8
TackleSuccessful,Strasbourg,13,Reims,10
CornersTotal,Strasbourg,4,Reims,9
Dispossessed,Strasbourg,8,Reims,6
ShotsOnPost,Strasbourg,0,Reims,1
ShotsOnTarget,Strasbourg,9,Reims,3
ShotsOffTarget,Strasbourg,3,Reims,3
ShotsBlocked,Strasbourg,1,Reims,4
Touches,Strasbourg,540,Reims,574
PassesTotal,Strasbourg,359,Reims,402
PassesAccurate,Strasbourg,299,Reims,336
KeyPasses,Strasbourg,9,Reims,9
DribblesAttempted,Strasbourg,12,Reims,21
DribblesPast,Strasbourg,14,Reims,10
DribbleSuccess,Strasbourg,83,Reims,67
OffensiveAerials,Strasbourg,16,Reims,8
DefensiveAerials,Strasbourg,8,Reims,16
AerialsWon,Strasbourg,67,Reims,33
TacklesAttempted,Strasbourg,27,Reims,20
TacklesUnsuccessful,Strasbourg,14,Reims,10
TackleSuccess,Strasbourg,48,Reims,50
Clearances,Strasbourg,21,Reims,13
Interceptions,Strasbourg,9,Reims,12
Errors,Strasbourg,0,Reims,0
Fouls,Strasbourg,15,Reims,13
Offsides,Strasbourg,0,Reims,1
Rating,Bordeaux,6.99,Marseille,6.48
TotalShots,Bordeaux,7,Marseille,21
Possession,Bordeaux,35.1,Marseille,64.9
PassSuccess,Bordeaux,74,Marseille,84
DribblesWon,Bordeaux,4,Marseille,7
AerialsWon,Bordeaux,28,Marseille,25
TackleSuccessful,Bordeaux,14,Marseille,21
CornersTotal,Bordeaux,1,Marseille,11
Dispossessed,Bordeaux,12,Marseille,8
ShotsOnPost,Bordeaux,0,Marseille,0
ShotsOnTarget,Bordeaux,7,Marseille,5
ShotsOffTarget,Bordeaux,0,Marseille,10
ShotsBlocked,Bordeaux,0,Marseille,6
Touches,Bordeaux,490,Marseille,729
PassesTotal,Bordeaux,301,Marseille,542
PassesAccurate,Bordeaux,222,Marseille,454
KeyPasses,Bordeaux,5,Marseille,16
DribblesAttempted,Bordeaux,13,Marseille,13
DribblesPast,Bordeaux,7,Marseille,4
DribbleSuccess,Bordeaux,31,Marseille,54
OffensiveAerials,Bordeaux,19,Marseille,33
DefensiveAerials,Bordeaux,34,Marseille,20
AerialsWon,Bordeaux,53,Marseille,47
TacklesAttempted,Bordeaux,21,Marseille,25
TacklesUnsuccessful,Bordeaux,7,Marseille,4
TackleSuccess,Bordeaux,67,Marseille,84
Clearances,Bordeaux,31,Marseille,11
Interceptions,Bordeaux,11,Marseille,6
Errors,Bordeaux,0,Marseille,0
Fouls,Bordeaux,16,Marseille,13
Offsides,Bordeaux,2,Marseille,0
Rating,Lyon,6.45,Dijon,6.71
TotalShots,Lyon,27,Dijon,8
Possession,Lyon,62.8,Dijon,37.2
PassSuccess,Lyon,85,Dijon,68
DribblesWon,Lyon,19,Dijon,6
AerialsWon,Lyon,27,Dijon,26
TackleSuccessful,Lyon,12,Dijon,14
CornersTotal,Lyon,8,Dijon,3
Dispossessed,Lyon,8,Dijon,7
ShotsOnPost,Lyon,0,Dijon,0
ShotsOnTarget,Lyon,6,Dijon,3
ShotsOffTarget,Lyon,14,Dijon,3
ShotsBlocked,Lyon,7,Dijon,2
Touches,Lyon,715,Dijon,466
PassesTotal,Lyon,502,Dijon,305
PassesAccurate,Lyon,428,Dijon,208
KeyPasses,Lyon,18,Dijon,8
DribblesAttempted,Lyon,25,Dijon,11
DribblesPast,Lyon,6,Dijon,19
DribbleSuccess,Lyon,76,Dijon,55
OffensiveAerials,Lyon,19,Dijon,34
DefensiveAerials,Lyon,34,Dijon,19
AerialsWon,Lyon,51,Dijon,49
TacklesAttempted,Lyon,18,Dijon,33
TacklesUnsuccessful,Lyon,6,Dijon,19
TackleSuccess,Lyon,67,Dijon,42
Clearances,Lyon,13,Dijon,20
Interceptions,Lyon,5,Dijon,12
Errors,Lyon,0,Dijon,1
Fouls,Lyon,14,Dijon,17
Offsides,Lyon,0,Dijon,1
Rating,Guingamp,6.80,Monaco,6.60
TotalShots,Guingamp,11,Monaco,18
Possession,Guingamp,31.9,Monaco,68.1
PassSuccess,Guingamp,59,Monaco,81
DribblesWon,Guingamp,9,Monaco,5
AerialsWon,Guingamp,26,Monaco,24
TackleSuccessful,Guingamp,23,Monaco,17
CornersTotal,Guingamp,3,Monaco,9
Dispossessed,Guingamp,11,Monaco,13
ShotsOnPost,Guingamp,0,Monaco,1
ShotsOnTarget,Guingamp,2,Monaco,5
ShotsOffTarget,Guingamp,5,Monaco,6
ShotsBlocked,Guingamp,4,Monaco,7
Touches,Guingamp,467,Monaco,753
PassesTotal,Guingamp,245,Monaco,511
PassesAccurate,Guingamp,145,Monaco,414
KeyPasses,Guingamp,8,Monaco,10
DribblesAttempted,Guingamp,15,Monaco,15
DribblesPast,Guingamp,5,Monaco,9
DribbleSuccess,Guingamp,60,Monaco,33
OffensiveAerials,Guingamp,25,Monaco,25
DefensiveAerials,Guingamp,25,Monaco,25
AerialsWon,Guingamp,52,Monaco,48
TacklesAttempted,Guingamp,28,Monaco,26
TacklesUnsuccessful,Guingamp,5,Monaco,9
TackleSuccess,Guingamp,82,Monaco,65
Clearances,Guingamp,34,Monaco,15
Interceptions,Guingamp,8,Monaco,8
Errors,Guingamp,0,Monaco,0
Fouls,Guingamp,17,Monaco,14
Offsides,Guingamp,2,Monaco,1
Rating,Nimes,7.03,Caen,6.33
TotalShots,Nimes,13,Caen,5
Possession,Nimes,49.2,Caen,50.8
PassSuccess,Nimes,72,Caen,74
DribblesWon,Nimes,5,Caen,8
AerialsWon,Nimes,25,Caen,29
TackleSuccessful,Nimes,20,Caen,16
CornersTotal,Nimes,4,Caen,2
Dispossessed,Nimes,3,Caen,9
ShotsOnPost,Nimes,0,Caen,0
ShotsOnTarget,Nimes,7,Caen,1
ShotsOffTarget,Nimes,5,Caen,2
ShotsBlocked,Nimes,1,Caen,2
Touches,Nimes,528,Caen,541
PassesTotal,Nimes,330,Caen,341
PassesAccurate,Nimes,238,Caen,252
KeyPasses,Nimes,10,Caen,2
DribblesAttempted,Nimes,18,Caen,19
DribblesPast,Nimes,8,Caen,5
DribbleSuccess,Nimes,28,Caen,42
OffensiveAerials,Nimes,35,Caen,19
DefensiveAerials,Nimes,19,Caen,35
AerialsWon,Nimes,46,Caen,54
TacklesAttempted,Nimes,28,Caen,21
TacklesUnsuccessful,Nimes,8,Caen,5
TackleSuccess,Nimes,71,Caen,76
Clearances,Nimes,18,Caen,16
Interceptions,Nimes,11,Caen,9
Errors,Nimes,0,Caen,0
Fouls,Nimes,19,Caen,16
Offsides,Nimes,0,Caen,1
Rating,Angers,6.59,Rennes,6.90
TotalShots,Angers,17,Rennes,7
Possession,Angers,44.5,Rennes,55.5
PassSuccess,Angers,82,Rennes,86
DribblesWon,Angers,11,Rennes,18
AerialsWon,Angers,6,Rennes,14
TackleSuccessful,Angers,17,Rennes,19
CornersTotal,Angers,4,Rennes,2
Dispossessed,Angers,9,Rennes,10
ShotsOnPost,Angers,0,Rennes,0
ShotsOnTarget,Angers,9,Rennes,5
ShotsOffTarget,Angers,4,Rennes,1
ShotsBlocked,Angers,4,Rennes,1
Touches,Angers,597,Rennes,711
PassesTotal,Angers,411,Rennes,525
PassesAccurate,Angers,336,Rennes,450
KeyPasses,Angers,13,Rennes,3
DribblesAttempted,Angers,21,Rennes,25
DribblesPast,Angers,18,Rennes,11
DribbleSuccess,Angers,52,Rennes,72
OffensiveAerials,Angers,10,Rennes,10
DefensiveAerials,Angers,10,Rennes,10
AerialsWon,Angers,30,Rennes,70
TacklesAttempted,Angers,35,Rennes,30
TacklesUnsuccessful,Angers,18,Rennes,11
TackleSuccess,Angers,49,Rennes,63
Clearances,Angers,10,Rennes,21
Interceptions,Angers,10,Rennes,11
Errors,Angers,0,Rennes,0
Fouls,Angers,11,Rennes,13
Offsides,Angers,1,Rennes,1
Rating,Amiens,6.71,Saint-Etienne,6.71
TotalShots,Amiens,5,Saint-Etienne,26
Possession,Amiens,33.7,Saint-Etienne,66.3
PassSuccess,Amiens,68,Saint-Etienne,83
DribblesWon,Amiens,15,Saint-Etienne,9
AerialsWon,Amiens,17,Saint-Etienne,19
