Rating,Mainz,7.62,Freiburg,5.96
TotalShots,Mainz,9,Freiburg,17
Possession,Mainz,29.7,Freiburg,70.3
PassSuccess,Mainz,78,Freiburg,88
DribblesWon,Mainz,8,Freiburg,7
AerialsWon,Mainz,11,Freiburg,15
TackleSuccessful,Mainz,17,Freiburg,19
CornersTotal,Mainz,2,Freiburg,7
Dispossessed,Mainz,10,Freiburg,12
ShotsOnPost,Mainz,0,Freiburg,0
ShotsOnTarget,Mainz,5,Freiburg,5
ShotsOffTarget,Mainz,2,Freiburg,7
ShotsBlocked,Mainz,2,Freiburg,5
Touches,Mainz,444,Freiburg,818
PassesTotal,Mainz,280,Freiburg,652
PassesAccurate,Mainz,217,Freiburg,577
KeyPasses,Mainz,6,Freiburg,10
DribblesAttempted,Mainz,17,Freiburg,12
DribblesPast,Mainz,7,Freiburg,8
DribbleSuccess,Mainz,47,Freiburg,58
OffensiveAerials,Mainz,15,Freiburg,11
DefensiveAerials,Mainz,11,Freiburg,15
AerialsWon,Mainz,42,Freiburg,58
TacklesAttempted,Mainz,24,Freiburg,27
TacklesUnsuccessful,Mainz,7,Freiburg,8
TackleSuccess,Mainz,71,Freiburg,70
Clearances,Mainz,19,Freiburg,9
Interceptions,Mainz,13,Freiburg,10
Errors,Mainz,0,Freiburg,1
Fouls,Mainz,18,Freiburg,8
Offsides,Mainz,3,Freiburg,0
Rating,Wolfsburg,7.11,Hannover,6.42
TotalShots,Wolfsburg,12,Hannover,11
Possession,Wolfsburg,61.4,Hannover,38.6
PassSuccess,Wolfsburg,83,Hannover,75
DribblesWon,Wolfsburg,13,Hannover,9
AerialsWon,Wolfsburg,22,Hannover,10
TackleSuccessful,Wolfsburg,22,Hannover,19
CornersTotal,Wolfsburg,9,Hannover,2
Dispossessed,Wolfsburg,10,Hannover,11
ShotsOnPost,Wolfsburg,0,Hannover,0
ShotsOnTarget,Wolfsburg,5,Hannover,4
ShotsOffTarget,Wolfsburg,5,Hannover,7
ShotsBlocked,Wolfsburg,2,Hannover,0
Touches,Wolfsburg,697,Hannover,523
PassesTotal,Wolfsburg,498,Hannover,317
PassesAccurate,Wolfsburg,413,Hannover,239
KeyPasses,Wolfsburg,9,Hannover,8
DribblesAttempted,Wolfsburg,22,Hannover,20
DribblesPast,Wolfsburg,9,Hannover,13
DribbleSuccess,Wolfsburg,59,Hannover,45
OffensiveAerials,Wolfsburg,12,Hannover,20
DefensiveAerials,Wolfsburg,20,Hannover,12
AerialsWon,Wolfsburg,69,Hannover,31
TacklesAttempted,Wolfsburg,31,Hannover,32
TacklesUnsuccessful,Wolfsburg,9,Hannover,13
TackleSuccess,Wolfsburg,71,Hannover,59
Clearances,Wolfsburg,14,Hannover,27
Interceptions,Wolfsburg,11,Hannover,13
Errors,Wolfsburg,1,Hannover,0
Fouls,Wolfsburg,10,Hannover,11
Offsides,Wolfsburg,0,Hannover,1
Rating,Hertha Berlin,6.74,Fortuna Duesseldorf,6.81
TotalShots,Hertha Berlin,13,Fortuna Duesseldorf,15
Possession,Hertha Berlin,59.6,Fortuna Duesseldorf,40.4
PassSuccess,Hertha Berlin,87,Fortuna Duesseldorf,79
DribblesWon,Hertha Berlin,16,Fortuna Duesseldorf,6
AerialsWon,Hertha Berlin,22,Fortuna Duesseldorf,20
TackleSuccessful,Hertha Berlin,18,Fortuna Duesseldorf,22
CornersTotal,Hertha Berlin,2,Fortuna Duesseldorf,6
Dispossessed,Hertha Berlin,13,Fortuna Duesseldorf,8
ShotsOnPost,Hertha Berlin,0,Fortuna Duesseldorf,0
ShotsOnTarget,Hertha Berlin,3,Fortuna Duesseldorf,7
ShotsOffTarget,Hertha Berlin,8,Fortuna Duesseldorf,6
ShotsBlocked,Hertha Berlin,2,Fortuna Duesseldorf,2
Touches,Hertha Berlin,736,Fortuna Duesseldorf,548
PassesTotal,Hertha Berlin,538,Fortuna Duesseldorf,362
PassesAccurate,Hertha Berlin,467,Fortuna Duesseldorf,286
KeyPasses,Hertha Berlin,11,Fortuna Duesseldorf,13
DribblesAttempted,Hertha Berlin,25,Fortuna Duesseldorf,16
DribblesPast,Hertha Berlin,6,Fortuna Duesseldorf,16
DribbleSuccess,Hertha Berlin,64,Fortuna Duesseldorf,38
OffensiveAerials,Hertha Berlin,19,Fortuna Duesseldorf,23
DefensiveAerials,Hertha Berlin,23,Fortuna Duesseldorf,19
AerialsWon,Hertha Berlin,52,Fortuna Duesseldorf,48
TacklesAttempted,Hertha Berlin,24,Fortuna Duesseldorf,38
TacklesUnsuccessful,Hertha Berlin,6,Fortuna Duesseldorf,16
TackleSuccess,Hertha Berlin,75,Fortuna Duesseldorf,58
Clearances,Hertha Berlin,16,Fortuna Duesseldorf,15
Interceptions,Hertha Berlin,8,Fortuna Duesseldorf,10
Errors,Hertha Berlin,0,Fortuna Duesseldorf,0
Fouls,Hertha Berlin,20,Fortuna Duesseldorf,11
Offsides,Hertha Berlin,2,Fortuna Duesseldorf,3
Rating,Schalke,6.43,Eintracht Frankfurt,6.93
TotalShots,Schalke,6,Eintracht Frankfurt,16
Possession,Schalke,36.6,Eintracht Frankfurt,63.4
PassSuccess,Schalke,60,Eintracht Frankfurt,76
DribblesWon,Schalke,10,Eintracht Frankfurt,10
AerialsWon,Schalke,17,Eintracht Frankfurt,18
TackleSuccessful,Schalke,20,Eintracht Frankfurt,22
CornersTotal,Schalke,3,Eintracht Frankfurt,6
Dispossessed,Schalke,13,Eintracht Frankfurt,15
ShotsOnPost,Schalke,0,Eintracht Frankfurt,0
ShotsOnTarget,Schalke,4,Eintracht Frankfurt,5
ShotsOffTarget,Schalke,2,Eintracht Frankfurt,6
ShotsBlocked,Schalke,0,Eintracht Frankfurt,5
Touches,Schalke,479,Eintracht Frankfurt,694
PassesTotal,Schalke,274,Eintracht Frankfurt,480
PassesAccurate,Schalke,164,Eintracht Frankfurt,367
KeyPasses,Schalke,5,Eintracht Frankfurt,10
DribblesAttempted,Schalke,19,Eintracht Frankfurt,15
DribblesPast,Schalke,10,Eintracht Frankfurt,10
DribbleSuccess,Schalke,53,Eintracht Frankfurt,67
OffensiveAerials,Schalke,25,Eintracht Frankfurt,10
DefensiveAerials,Schalke,10,Eintracht Frankfurt,25
AerialsWon,Schalke,49,Eintracht Frankfurt,51
TacklesAttempted,Schalke,30,Eintracht Frankfurt,32
TacklesUnsuccessful,Schalke,10,Eintracht Frankfurt,10
TackleSuccess,Schalke,67,Eintracht Frankfurt,69
Clearances,Schalke,19,Eintracht Frankfurt,12
Interceptions,Schalke,12,Eintracht Frankfurt,9
Errors,Schalke,0,Eintracht Frankfurt,0
Fouls,Schalke,18,Eintracht Frankfurt,8
Offsides,Schalke,3,Eintracht Frankfurt,2
Rating,Leverkusen,6.37,RasenBallsport Leipzig,6.95
TotalShots,Leverkusen,10,RasenBallsport Leipzig,8
Possession,Leverkusen,63,RasenBallsport Leipzig,37
PassSuccess,Leverkusen,83,RasenBallsport Leipzig,69
DribblesWon,Leverkusen,12,RasenBallsport Leipzig,12
AerialsWon,Leverkusen,15,RasenBallsport Leipzig,16
TackleSuccessful,Leverkusen,16,RasenBallsport Leipzig,20
CornersTotal,Leverkusen,6,RasenBallsport Leipzig,2
Dispossessed,Leverkusen,11,RasenBallsport Leipzig,12
ShotsOnPost,Leverkusen,0,RasenBallsport Leipzig,0
ShotsOnTarget,Leverkusen,4,RasenBallsport Leipzig,4
ShotsOffTarget,Leverkusen,6,RasenBallsport Leipzig,3
ShotsBlocked,Leverkusen,0,RasenBallsport Leipzig,1
Touches,Leverkusen,803,RasenBallsport Leipzig,561
PassesTotal,Leverkusen,594,RasenBallsport Leipzig,351
PassesAccurate,Leverkusen,492,RasenBallsport Leipzig,243
KeyPasses,Leverkusen,6,RasenBallsport Leipzig,5
DribblesAttempted,Leverkusen,21,RasenBallsport Leipzig,16
DribblesPast,Leverkusen,12,RasenBallsport Leipzig,12
DribbleSuccess,Leverkusen,57,RasenBallsport Leipzig,75
OffensiveAerials,Leverkusen,14,RasenBallsport Leipzig,17
DefensiveAerials,Leverkusen,17,RasenBallsport Leipzig,14
AerialsWon,Leverkusen,48,RasenBallsport Leipzig,52
TacklesAttempted,Leverkusen,28,RasenBallsport Leipzig,32
TacklesUnsuccessful,Leverkusen,12,RasenBallsport Leipzig,12
TackleSuccess,Leverkusen,57,RasenBallsport Leipzig,63
Clearances,Leverkusen,20,RasenBallsport Leipzig,26
Interceptions,Leverkusen,10,RasenBallsport Leipzig,15
Errors,Leverkusen,0,RasenBallsport Leipzig,0
Fouls,Leverkusen,12,RasenBallsport Leipzig,13
Offsides,Leverkusen,3,RasenBallsport Leipzig,3
Rating,Stuttgart,6.69,Nuernberg,6.74
TotalShots,Stuttgart,13,Nuernberg,20
Possession,Stuttgart,56.4,Nuernberg,43.6
PassSuccess,Stuttgart,80,Nuernberg,76
DribblesWon,Stuttgart,7,Nuernberg,11
AerialsWon,Stuttgart,27,Nuernberg,23
TackleSuccessful,Stuttgart,12,Nuernberg,15
CornersTotal,Stuttgart,12,Nuernberg,5
Dispossessed,Stuttgart,8,Nuernberg,6
ShotsOnPost,Stuttgart,1,Nuernberg,0
ShotsOnTarget,Stuttgart,4,Nuernberg,6
ShotsOffTarget,Stuttgart,4,Nuernberg,9
ShotsBlocked,Stuttgart,5,Nuernberg,5
Touches,Stuttgart,635,Nuernberg,555
PassesTotal,Stuttgart,430,Nuernberg,351
PassesAccurate,Stuttgart,346,Nuernberg,266
KeyPasses,Stuttgart,11,Nuernberg,11
DribblesAttempted,Stuttgart,14,Nuernberg,17
DribblesPast,Stuttgart,11,Nuernberg,7
DribbleSuccess,Stuttgart,50,Nuernberg,65
OffensiveAerials,Stuttgart,30,Nuernberg,20
DefensiveAerials,Stuttgart,20,Nuernberg,30
AerialsWon,Stuttgart,54,Nuernberg,46
TacklesAttempted,Stuttgart,23,Nuernberg,22
TacklesUnsuccessful,Stuttgart,11,Nuernberg,7
TackleSuccess,Stuttgart,52,Nuernberg,68
Clearances,Stuttgart,12,Nuernberg,36
Interceptions,Stuttgart,12,Nuernberg,10
Errors,Stuttgart,1,Nuernberg,0
Fouls,Stuttgart,10,Nuernberg,11
Offsides,Stuttgart,2,Nuernberg,4
Rating,Bayern,7.59,Borussia Dortmund,5.86
TotalShots,Bayern,22,Borussia Dortmund,4
Possession,Bayern,58.8,Borussia Dortmund,41.2
PassSuccess,Bayern,88,Borussia Dortmund,82
DribblesWon,Bayern,11,Borussia Dortmund,7
AerialsWon,Bayern,12,Borussia Dortmund,8
TackleSuccessful,Bayern,16,Borussia Dortmund,19
CornersTotal,Bayern,11,Borussia Dortmund,1
Dispossessed,Bayern,14,Borussia Dortmund,7
ShotsOnPost,Bayern,0,Borussia Dortmund,1
ShotsOnTarget,Bayern,10,Borussia Dortmund,1
ShotsOffTarget,Bayern,10,Borussia Dortmund,1
ShotsBlocked,Bayern,2,Borussia Dortmund,2
Touches,Bayern,763,Borussia Dortmund,578
PassesTotal,Bayern,580,Borussia Dortmund,412
PassesAccurate,Bayern,510,Borussia Dortmund,339
KeyPasses,Bayern,17,Borussia Dortmund,3
DribblesAttempted,Bayern,16,Borussia Dortmund,16
DribblesPast,Bayern,7,Borussia Dortmund,11
DribbleSuccess,Bayern,69,Borussia Dortmund,44
OffensiveAerials,Bayern,10,Borussia Dortmund,10
DefensiveAerials,Bayern,10,Borussia Dortmund,10
AerialsWon,Bayern,60,Borussia Dortmund,40
TacklesAttempted,Bayern,23,Borussia Dortmund,30
TacklesUnsuccessful,Bayern,7,Borussia Dortmund,11
TackleSuccess,Bayern,70,Borussia Dortmund,63
Clearances,Bayern,6,Borussia Dortmund,21
Interceptions,Bayern,7,Borussia Dortmund,5
Errors,Bayern,0,Borussia Dortmund,1
Fouls,Bayern,10,Borussia Dortmund,12
Offsides,Bayern,1,Borussia Dortmund,2
Rating,Augsburg,6.12,Hoffenheim,7.53
TotalShots,Augsburg,8,Hoffenheim,19
Possession,Augsburg,41.8,Hoffenheim,58.2
PassSuccess,Augsburg,78,Hoffenheim,87
DribblesWon,Augsburg,5,Hoffenheim,10
AerialsWon,Augsburg,15,Hoffenheim,11
TackleSuccessful,Augsburg,19,Hoffenheim,17
CornersTotal,Augsburg,4,Hoffenheim,3
Dispossessed,Augsburg,9,Hoffenheim,14
ShotsOnPost,Augsburg,0,Hoffenheim,0
ShotsOnTarget,Augsburg,0,Hoffenheim,9
ShotsOffTarget,Augsburg,6,Hoffenheim,4
ShotsBlocked,Augsburg,2,Hoffenheim,6
Touches,Augsburg,570,Hoffenheim,757
PassesTotal,Augsburg,379,Hoffenheim,547
PassesAccurate,Augsburg,297,Hoffenheim,474
KeyPasses,Augsburg,7,Hoffenheim,17
DribblesAttempted,Augsburg,13,Hoffenheim,15
DribblesPast,Augsburg,10,Hoffenheim,5
DribbleSuccess,Augsburg,38,Hoffenheim,67
OffensiveAerials,Augsburg,18,Hoffenheim,8
DefensiveAerials,Augsburg,8,Hoffenheim,18
AerialsWon,Augsburg,58,Hoffenheim,42
TacklesAttempted,Augsburg,29,Hoffenheim,22
TacklesUnsuccessful,Augsburg,10,Hoffenheim,5
TackleSuccess,Augsburg,66,Hoffenheim,77
Clearances,Augsburg,19,Hoffenheim,19
Interceptions,Augsburg,13,Hoffenheim,13
Errors,Augsburg,1,Hoffenheim,0
Fouls,Augsburg,11,Hoffenheim,10
Offsides,Augsburg,3,Hoffenheim,3
Rating,Borussia M.Gladbach,6.77,Werder Bremen,6.66
TotalShots,Borussia M.Gladbach,15,Werder Bremen,12
Possession,Borussia M.Gladbach,52.3,Werder Bremen,47.7
PassSuccess,Borussia M.Gladbach,84,Werder Bremen,79
DribblesWon,Borussia M.Gladbach,10,Werder Bremen,7
AerialsWon,Borussia M.Gladbach,14,Werder Bremen,24
TackleSuccessful,Borussia M.Gladbach,16,Werder Bremen,13
CornersTotal,Borussia M.Gladbach,7,Werder Bremen,1
Dispossessed,Borussia M.Gladbach,9,Werder Bremen,14
ShotsOnPost,Borussia M.Gladbach,1,Werder Bremen,0
ShotsOnTarget,Borussia M.Gladbach,3,Werder Bremen,6
ShotsOffTarget,Borussia M.Gladbach,12,Werder Bremen,3
ShotsBlocked,Borussia M.Gladbach,0,Werder Bremen,3
Touches,Borussia M.Gladbach,725,Werder Bremen,669
PassesTotal,Borussia M.Gladbach,535,Werder Bremen,501
PassesAccurate,Borussia M.Gladbach,448,Werder Bremen,398
KeyPasses,Borussia M.Gladbach,12,Werder Bremen,11
DribblesAttempted,Borussia M.Gladbach,14,Werder Bremen,9
DribblesPast,Borussia M.Gladbach,7,Werder Bremen,10
DribbleSuccess,Borussia M.Gladbach,71,Werder Bremen,78
OffensiveAerials,Borussia M.Gladbach,28,Werder Bremen,10
DefensiveAerials,Borussia M.Gladbach,10,Werder Bremen,28
AerialsWon,Borussia M.Gladbach,37,Werder Bremen,63
TacklesAttempted,Borussia M.Gladbach,23,Werder Bremen,23
TacklesUnsuccessful,Borussia M.Gladbach,7,Werder Bremen,10
TackleSuccess,Borussia M.Gladbach,70,Werder Bremen,57
Clearances,Borussia M.Gladbach,7,Werder Bremen,26
Interceptions,Borussia M.Gladbach,18,Werder Bremen,19
Errors,Borussia M.Gladbach,0,Werder Bremen,1
Fouls,Borussia M.Gladbach,7,Werder Bremen,6
Offsides,Borussia M.Gladbach,2,Werder Bremen,1
Rating,Nuernberg,6.92,Schalke,6.83
TotalShots,Nuernberg,17,Schalke,16
Possession,Nuernberg,52.8,Schalke,47.2
PassSuccess,Nuernberg,79,Schalke,80
DribblesWon,Nuernberg,10,Schalke,9
AerialsWon,Nuernberg,26,Schalke,11
TackleSuccessful,Nuernberg,11,Schalke,13
CornersTotal,Nuernberg,11,Schalke,9
Dispossessed,Nuernberg,5,Schalke,3
ShotsOnPost,Nuernberg,0,Schalke,0
ShotsOnTarget,Nuernberg,6,Schalke,2
ShotsOffTarget,Nuernberg,3,Schalke,9
ShotsBlocked,Nuernberg,8,Schalke,5
Touches,Nuernberg,623,Schalke,602
PassesTotal,Nuernberg,424,Schalke,373
PassesAccurate,Nuernberg,334,Schalke,299
KeyPasses,Nuernberg,12,Schalke,10
DribblesAttempted,Nuernberg,18,Schalke,17
DribblesPast,Nuernberg,9,Schalke,10
DribbleSuccess,Nuernberg,56,Schalke,53
OffensiveAerials,Nuernberg,17,Schalke,20
DefensiveAerials,Nuernberg,20,Schalke,17
AerialsWon,Nuernberg,70,Schalke,30
TacklesAttempted,Nuernberg,20,Schalke,23
TacklesUnsuccessful,Nuernberg,9,Schalke,10
TackleSuccess,Nuernberg,55,Schalke,57
Clearances,Nuernberg,30,Schalke,29
Interceptions,Nuernberg,13,Schalke,15
Errors,Nuernberg,0,Schalke,0
Fouls,Nuernberg,12,Schalke,14
Offsides,Nuernberg,2,Schalke,4
Rating,Hannover,6.71,Borussia M.Gladbach,7.07
TotalShots,Hannover,12,Borussia M.Gladbach,19
Possession,Hannover,42.4,Borussia M.Gladbach,57.6
PassSuccess,Hannover,78,Borussia M.Gladbach,82
DribblesWon,Hannover,8,Borussia M.Gladbach,15
AerialsWon,Hannover,16,Borussia M.Gladbach,18
TackleSuccessful,Hannover,24,Borussia M.Gladbach,16
CornersTotal,Hannover,3,Borussia M.Gladbach,12
Dispossessed,Hannover,11,Borussia M.Gladbach,14
ShotsOnPost,Hannover,0,Borussia M.Gladbach,0
ShotsOnTarget,Hannover,5,Borussia M.Gladbach,9
ShotsOffTarget,Hannover,4,Borussia M.Gladbach,6
ShotsBlocked,Hannover,3,Borussia M.Gladbach,4
Touches,Hannover,628,Borussia M.Gladbach,763
PassesTotal,Hannover,420,Borussia M.Gladbach,565
PassesAccurate,Hannover,329,Borussia M.Gladbach,466
KeyPasses,Hannover,10,Borussia M.Gladbach,15
DribblesAttempted,Hannover,13,Borussia M.Gladbach,25
DribblesPast,Hannover,15,Borussia M.Gladbach,8
DribbleSuccess,Hannover,62,Borussia M.Gladbach,60
OffensiveAerials,Hannover,13,Borussia M.Gladbach,21
DefensiveAerials,Hannover,21,Borussia M.Gladbach,13
AerialsWon,Hannover,47,Borussia M.Gladbach,53
TacklesAttempted,Hannover,39,Borussia M.Gladbach,24
TacklesUnsuccessful,Hannover,15,Borussia M.Gladbach,8
TackleSuccess,Hannover,62,Borussia M.Gladbach,67
Clearances,Hannover,23,Borussia M.Gladbach,12
Interceptions,Hannover,19,Borussia M.Gladbach,7
Errors,Hannover,1,Borussia M.Gladbach,0
Fouls,Hannover,10,Borussia M.Gladbach,9
Offsides,Hannover,0,Borussia M.Gladbach,0
Rating,Werder Bremen,6.93,Freiburg,6.69
TotalShots,Werder Bremen,16,Freiburg,9
Possession,Werder Bremen,62.3,Freiburg,37.7
PassSuccess,Werder Bremen,81,Freiburg,69
DribblesWon,Werder Bremen,6,Freiburg,14
AerialsWon,Werder Bremen,27,Freiburg,20
TackleSuccessful,Werder Bremen,11,Freiburg,10
CornersTotal,Werder Bremen,7,Freiburg,3
Dispossessed,Werder Bremen,8,Freiburg,5
ShotsOnPost,Werder Bremen,0,Freiburg,0
ShotsOnTarget,Werder Bremen,7,Freiburg,5
ShotsOffTarget,Werder Bremen,8,Freiburg,3
ShotsBlocked,Werder Bremen,1,Freiburg,1
Touches,Werder Bremen,738,Freiburg,534
PassesTotal,Werder Bremen,571,Freiburg,350
PassesAccurate,Werder Bremen,461,Freiburg,241
KeyPasses,Werder Bremen,12,Freiburg,5
DribblesAttempted,Werder Bremen,8,Freiburg,20
DribblesPast,Werder Bremen,14,Freiburg,6
DribbleSuccess,Werder Bremen,75,Freiburg,70
OffensiveAerials,Werder Bremen,22,Freiburg,25
DefensiveAerials,Werder Bremen,25,Freiburg,22
AerialsWon,Werder Bremen,57,Freiburg,43
TacklesAttempted,Werder Bremen,25,Freiburg,16
