Rating,AC Milan,6.77,Udinese,6.74
TotalShots,AC Milan,18,Udinese,7
Possession,AC Milan,57.4,Udinese,42.6
PassSuccess,AC Milan,83,Udinese,76
DribblesWon,AC Milan,5,Udinese,13
AerialsWon,AC Milan,20,Udinese,19
TackleSuccessful,AC Milan,31,Udinese,16
CornersTotal,AC Milan,7,Udinese,5
Dispossessed,AC Milan,13,Udinese,23
ShotsOnPost,AC Milan,0,Udinese,0
ShotsOnTarget,AC Milan,6,Udinese,2
ShotsOffTarget,AC Milan,5,Udinese,4
ShotsBlocked,AC Milan,7,Udinese,1
Touches,AC Milan,718,Udinese,609
PassesTotal,AC Milan,483,Udinese,373
PassesAccurate,AC Milan,402,Udinese,282
KeyPasses,AC Milan,10,Udinese,6
DribblesAttempted,AC Milan,8,Udinese,21
DribblesPast,AC Milan,13,Udinese,5
DribbleSuccess,AC Milan,63,Udinese,62
OffensiveAerials,AC Milan,21,Udinese,18
DefensiveAerials,AC Milan,18,Udinese,21
AerialsWon,AC Milan,51,Udinese,49
TacklesAttempted,AC Milan,44,Udinese,21
TacklesUnsuccessful,AC Milan,13,Udinese,5
TackleSuccess,AC Milan,70,Udinese,76
Clearances,AC Milan,14,Udinese,33
Interceptions,AC Milan,10,Udinese,7
Errors,AC Milan,0,Udinese,0
Fouls,AC Milan,14,Udinese,12
Offsides,AC Milan,0,Udinese,0
Rating,Cagliari,6.24,Juventus,7.21
TotalShots,Cagliari,9,Juventus,17
Possession,Cagliari,44.9,Juventus,55.1
PassSuccess,Cagliari,78,Juventus,82
DribblesWon,Cagliari,1,Juventus,7
AerialsWon,Cagliari,21,Juventus,21
TackleSuccessful,Cagliari,16,Juventus,11
CornersTotal,Cagliari,3,Juventus,5
Dispossessed,Cagliari,5,Juventus,10
ShotsOnPost,Cagliari,0,Juventus,0
ShotsOnTarget,Cagliari,0,Juventus,6
ShotsOffTarget,Cagliari,5,Juventus,7
ShotsBlocked,Cagliari,4,Juventus,4
Touches,Cagliari,578,Juventus,677
PassesTotal,Cagliari,412,Juventus,498
PassesAccurate,Cagliari,322,Juventus,408
KeyPasses,Cagliari,7,Juventus,14
DribblesAttempted,Cagliari,7,Juventus,13
DribblesPast,Cagliari,7,Juventus,1
DribbleSuccess,Cagliari,14,Juventus,54
OffensiveAerials,Cagliari,33,Juventus,9
DefensiveAerials,Cagliari,9,Juventus,33
AerialsWon,Cagliari,50,Juventus,50
TacklesAttempted,Cagliari,23,Juventus,12
TacklesUnsuccessful,Cagliari,7,Juventus,1
TackleSuccess,Cagliari,70,Juventus,92
Clearances,Cagliari,23,Juventus,11
Interceptions,Cagliari,8,Juventus,7
Errors,Cagliari,0,Juventus,0
Fouls,Cagliari,17,Juventus,10
Offsides,Cagliari,2,Juventus,3
Rating,Empoli,6.94,Napoli,6.62
TotalShots,Empoli,15,Napoli,14
Possession,Empoli,37.5,Napoli,62.5
PassSuccess,Empoli,81,Napoli,89
DribblesWon,Empoli,7,Napoli,8
AerialsWon,Empoli,10,Napoli,9
TackleSuccessful,Empoli,19,Napoli,18
CornersTotal,Empoli,8,Napoli,2
Dispossessed,Empoli,12,Napoli,7
ShotsOnPost,Empoli,0,Napoli,0
ShotsOnTarget,Empoli,7,Napoli,5
ShotsOffTarget,Empoli,5,Napoli,6
ShotsBlocked,Empoli,3,Napoli,3
Touches,Empoli,576,Napoli,858
PassesTotal,Empoli,383,Napoli,652
PassesAccurate,Empoli,311,Napoli,581
KeyPasses,Empoli,12,Napoli,12
DribblesAttempted,Empoli,13,Napoli,20
DribblesPast,Empoli,8,Napoli,7
DribbleSuccess,Empoli,54,Napoli,40
OffensiveAerials,Empoli,7,Napoli,12
DefensiveAerials,Empoli,12,Napoli,7
AerialsWon,Empoli,53,Napoli,47
TacklesAttempted,Empoli,27,Napoli,25
TacklesUnsuccessful,Empoli,8,Napoli,7
TackleSuccess,Empoli,70,Napoli,72
Clearances,Empoli,23,Napoli,15
Interceptions,Empoli,10,Napoli,7
Errors,Empoli,0,Napoli,0
Fouls,Empoli,13,Napoli,6
Offsides,Empoli,0,Napoli,2
