Rating,Feirense,6.38,Vitoria de Setubal,6.80
TotalShots,Feirense,16,Vitoria de Setubal,9
Possession,Feirense,54.7,Vitoria de Setubal,45.3
PassSuccess,Feirense,71,Vitoria de Setubal,63
DribblesWon,Feirense,3,Vitoria de Setubal,3
AerialsWon,Feirense,25,Vitoria de Setubal,28
TackleSuccessful,Feirense,14,Vitoria de Setubal,12
CornersTotal,Feirense,5,Vitoria de Setubal,5
Dispossessed,Feirense,8,Vitoria de Setubal,9
ShotsOnPost,Feirense,0,Vitoria de Setubal,0
ShotsOnTarget,Feirense,3,Vitoria de Setubal,3
ShotsOffTarget,Feirense,10,Vitoria de Setubal,5
ShotsBlocked,Feirense,3,Vitoria de Setubal,1
Touches,Feirense,576,Vitoria de Setubal,486
PassesTotal,Feirense,370,Vitoria de Setubal,305
PassesAccurate,Feirense,262,Vitoria de Setubal,193
KeyPasses,Feirense,9,Vitoria de Setubal,5
DribblesAttempted,Feirense,7,Vitoria de Setubal,8
DribblesPast,Feirense,3,Vitoria de Setubal,3
DribbleSuccess,Feirense,43,Vitoria de Setubal,38
OffensiveAerials,Feirense,21,Vitoria de Setubal,32
DefensiveAerials,Feirense,32,Vitoria de Setubal,21
AerialsWon,Feirense,47,Vitoria de Setubal,53
TacklesAttempted,Feirense,17,Vitoria de Setubal,15
TacklesUnsuccessful,Feirense,3,Vitoria de Setubal,3
TackleSuccess,Feirense,82,Vitoria de Setubal,80
Clearances,Feirense,23,Vitoria de Setubal,20
Interceptions,Feirense,11,Vitoria de Setubal,9
Errors,Feirense,0,Vitoria de Setubal,0
Fouls,Feirense,13,Vitoria de Setubal,16
Offsides,Feirense,1,Vitoria de Setubal,2
Rating,Porto,7.27,Boavista,6.35
TotalShots,Porto,17,Boavista,5
Possession,Porto,67.7,Boavista,32.3
PassSuccess,Porto,84,Boavista,68
DribblesWon,Porto,26,Boavista,5
AerialsWon,Porto,21,Boavista,16
TackleSuccessful,Porto,14,Boavista,21
CornersTotal,Porto,8,Boavista,0
Dispossessed,Porto,10,Boavista,8
ShotsOnPost,Porto,0,Boavista,0
ShotsOnTarget,Porto,7,Boavista,1
ShotsOffTarget,Porto,5,Boavista,3
ShotsBlocked,Porto,5,Boavista,1
Touches,Porto,755,Boavista,452
PassesTotal,Porto,558,Boavista,271
PassesAccurate,Porto,470,Boavista,184
KeyPasses,Porto,14,Boavista,4
DribblesAttempted,Porto,37,Boavista,11
DribblesPast,Porto,5,Boavista,26
DribbleSuccess,Porto,70,Boavista,45
OffensiveAerials,Porto,15,Boavista,22
DefensiveAerials,Porto,22,Boavista,15
